text,label
cái thằng đáng yêu vãi cả cứt,1
cái thằng đáng ghét vãi cả cứt,1
cái thằng đáng yêu vãi cả cức,1
súc vật,1
cái này súc vật,1
cái này đáng yêu quá,0
 sẽ không yêu một người như ,0
 sẽ không yêu một người như ,0
 sẽ không yêu một người như ,0
 sẽ không yêu một người như ,0
 sẽ không yêu một người như chị,0
chiều nay  rảnh không,0
tối nay  rảnh không,0
tối nay  rảnh không,0
tối này  sẽ giết nó,1
tối này  sẽ tỏ tình với  ấy,0
tối này  sẽ tỏ tình với cô ấy,0
trần vũ bình đẹp trai quá,0
cái  đáng yêu lồn này,1
cái  đáng ghét lồn này,1
cái  đáng yêu cứt này,1
cái  đáng ghét cứt này,1
cặc,1
lồn,1
dái chó,1
dái xệ,1
dái,1
dái vãi,1
dái vãi cứt,1
dái vãi cức,1
lồn mẹ nó,1
lồn mẹ ,1
tức vãi cả cứt,1
tức vãi cả cức,1
tức vãi cả lồn,1
tức vãi cả dái,1
tức vãi cả dái chó,1
tức ghê,0
 tức ghê á ,0
 tức ghê á,0
 tức ghê á ,0
tức ghê á,0
tức ghê á ,0
chuyện tình  không có gì vui vẻ cả,0
chuyện tình  không có gì vui vẻ cả,0
chiều nay t ăn bún với thịt nướng không,0
t muốn giết ,1
t muốn giết,1
chết đi đồ con chó,1
cô ấy đã qua đời rồi,0
chết rồi,0
ảnh sex,1
ảnh nude,1
giờ  gửi ảnh sex nhé,1
giờ  gửi ảnh nude nhé,1
bây giờ  gửi ảnh cho  đi,0
 gửi tài liệu cho  với nhé,0
bật chế độ an toàn,0
bật chế độ an toàn đi,0
chuyện cũng không có gì vui vẻ cả,0
chuyện không có gì đáng nói cả,0
huấn luyện mô hình tới đâu rồi,0
cái địt mẹ  ngu thế,0
ngu quá không đáng để tổn tại trên đời,1
nigga,1
nigger,1
 yêu  nhưng  không đáng để tồn tại trên thế giới này,1
tồn tại trên đời,0
 rất giỏi,0
 rất đáng tồn tại trên đời,0
 không có gì phải sợ cả có  ở đây rồi,0
nếu một mai  không còn sống nữa,0
chuyển tiền hộ  nhé,0
nấu cơm chưa ,0
ăn cơm hay ăn cứt mà ngu quá vậy,1
Chuẩn bị viết đơn xin lỗi Jayce chưa  ,0
Tôi vừa xem tập 7 xong viết sẵn đơn rồi,0
17 CEO nhận xe cùng lúc,0
Chúc mừng đại lý do số tháng này bùng nổ,0
Yasuo xuất hiên trong arcane 2 chi tiết dưới cmt,0
In a parallel universe,0
AE nào đang muốn cải thiện chuyên môn TECH STACK NODEJS,0
Backend NODEJS tham khảo nhé,0
Tp vĩnh long có cái vietconbank nào v ba,0
Đi cafe ở đâu,0
T đem lap theo làm bài á nha,0
Để mẹ t tắm cở 15p nữa t mứoi đi được,0
Để t lên rước m liền nè,0
giờ mấy MU công là siwj,0
pháo lồn xuống top6 r,1
chúng ta chỉ cần bàn thắng d dự của bầy cáo,0
đỉ mẹ mới chê hồi này,1
Garnacho đá ngu thế nhỉ,1
kèo bọng thấy lỏ quá,1
Khung cảnh yên bình ở quê,0
Cay vl giờ pích cờ bôn cứ qu quẩn mãi trong đầu???? Sắp thuộc mẹ r,0
